source,mode,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
metadata,major,0.1672817618204899,0.0258889433855773,0.1171404498466961,0.0356495908305276,0.1112308969486855,0.0900446437737427,0.0382659859401006,0.1675196444115726,0.0340844055436333,0.0927271588361983,0.0395008915220406,0.0806656271407341
metadata,minor,0.1556462295111984,0.0346275503663363,0.0990315710732408,0.1044334346698825,0.0484771253461355,0.1039707925625792,0.0340200236968571,0.1551543211998139,0.0745676093834861,0.0533483623420638,0.0830736781583143,0.0536493016900923
bayes,major,0.1998608196478785,0.0089507064097743,0.1300822885140355,0.0122289244916267,0.1264772609248317,0.0854414230572848,0.0263215627228342,0.2064653827032886,0.0132835960565174,0.0884234128822326,0.0144907042755989,0.0879739183140961
bayes,minor,0.1795621050781938,0.0168200718689824,0.1084409967364511,0.1192381059032407,0.0255166397718238,0.1119654569908494,0.0201092718322579,0.1818434471542175,0.0720371075273763,0.0343425854267915,0.0825534844224502,0.047570727287365
krumhansl,major,0.1519502273271117,0.0533620483369227,0.0832735104091887,0.0557549653027039,0.1048097631012203,0.0978703039004546,0.0603015075376884,0.1241923905240488,0.0571907154821727,0.0875807609475951,0.0547977985163914,0.068916008614501
krumhansl,minor,0.1422152325320152,0.0602111884969669,0.0790833520557178,0.1208717142215232,0.0584138395866097,0.0793080206695124,0.0570658279038418,0.1067175915524601,0.0894181082902718,0.0604358571107616,0.075039317007414,0.0712199505729049
temperley,major,0.1298701298701298,0.0519480519480519,0.0909090909090909,0.0519480519480519,0.1168831168831169,0.1038961038961039,0.0519480519480519,0.1168831168831169,0.0519480519480519,0.0909090909090909,0.0389610389610389,0.1038961038961039
temperley,minor,0.1298701298701298,0.0519480519480519,0.0909090909090909,0.1168831168831169,0.0519480519480519,0.1038961038961039,0.0519480519480519,0.1168831168831169,0.0909090909090909,0.0519480519480519,0.0389610389610389,0.1038961038961039
albrecht,major,0.238,0.006,0.111,0.006,0.137,0.094,0.016,0.214,0.009,0.08,0.008,0.081
albrecht,minor,0.220440881763527,0.0060120240480961,0.1042084168336673,0.1232464929859719,0.0190380761523046,0.1032064128256512,0.0120240480961923,0.2144288577154308,0.0621242484969939,0.0220440881763527,0.0611222444889779,0.0521042084168336
