year,root,mode,0,1,2,3,4,5,6,7,8,9,10,11
1556.0,,,0.062929061784897,0.0,0.2683066361556064,0.0,0.0549199084668192,0.1001144164759725,0.0,0.290045766590389,0.0,0.1264302059496567,0.097254004576659,0.0
1556.0,,,0.0820862676056338,0.0,0.2484595070422536,0.0008802816901408,0.0607394366197183,0.1401848591549295,0.0,0.2227112676056338,0.0,0.1285211267605633,0.1161971830985915,0.0002200704225352
1556.0,,,0.1026638730918886,0.0,0.2372044298114337,0.00868003591739,0.0580664471715055,0.153995809637833,0.0,0.1721041604310086,0.0,0.1379826399281652,0.1293026040107752,0.0
1556.0,,,0.088041237113402,0.0,0.2426804123711339,0.0,0.0847422680412371,0.122680412371134,0.0008247422680412,0.2261855670103093,0.0,0.1290721649484536,0.1057731958762886,0.0
1556.0,,,0.088939566704675,0.0,0.2690992018244014,0.0,0.0661345496009122,0.1163055872291904,0.0,0.2257696693272519,0.0,0.1128848346636259,0.1208665906499429,0.0
1556.0,,,0.0829875518672199,0.0,0.2458506224066389,0.0031120331950207,0.0715767634854771,0.1260373443983402,0.0,0.1843879668049792,0.0,0.1558609958506224,0.1218879668049792,0.0082987551867219
1556.0,,,0.102389594676346,0.0,0.2484875983061101,0.0,0.0908953418027828,0.1034482758620689,0.0,0.2117362371445856,0.0,0.1327888687235329,0.0996672716273442,0.0105868118572292
1556.0,,,0.1090596822670674,0.0,0.2439888364104766,0.0017174753112924,0.088235294117647,0.1031558608844997,0.0,0.1953628166595104,0.0,0.1507084585659081,0.1043366251610133,0.0034349506225848
1556.0,,,0.0949656750572082,0.0,0.2416094584286804,0.0015255530129672,0.0869565217391304,0.1107932875667429,0.0,0.2181540808543096,0.0,0.1304347826086956,0.1094584286803966,0.0061022120518688
1556.0,,,0.0882225119513255,0.0,0.2357670578009561,0.0108648413733159,0.0710560625814863,0.1060408518035636,0.0,0.2333767926988266,0.0,0.126032159930465,0.1286397218600608,0.0
1568.0,,,0.2311661506707946,0.0,0.0541795665634674,0.0103199174406604,0.1119711042311661,0.2518059855521156,0.0,0.1372549019607843,0.0,0.1083591331269349,0.0908152734778121,0.0041279669762641
1568.0,,,0.2328618063112078,0.0,0.0905875952121871,0.0043525571273122,0.0769858541893362,0.2445593035908596,0.0,0.1368335146898803,0.0,0.1207834602829162,0.0875952121871599,0.0054406964091403
1568.0,,,0.2110091743119266,0.0,0.0928899082568807,0.0045871559633027,0.0685206422018348,0.2428325688073394,0.0,0.114822247706422,0.0,0.1533830275229357,0.1079415137614678,0.0040137614678899
1568.0,,,0.2140250260688216,0.0,0.0946298227320125,0.0,0.07429614181439,0.2666840458811261,0.0,0.1128779979144942,0.0,0.1256517205422315,0.1066214807090719,0.0052137643378519
1568.0,,,0.2586996336996337,0.0,0.0599816849816849,0.0,0.0757783882783882,0.2408424908424908,0.0,0.148580586080586,0.0,0.1298076923076923,0.083562271062271,0.0027472527472527
1557.0,,,0.1007724719101123,0.0,0.2443820224719101,0.0,0.1281601123595505,0.1351825842696629,0.0,0.1070926966292134,0.0,0.2138342696629212,0.0035112359550561,0.067064606741573
1557.0,,,0.11828231292517,0.0,0.2293367346938775,0.0,0.1226190476190476,0.1129251700680272,0.0003401360544217,0.196343537414966,0.0,0.1417517006802721,0.0003401360544217,0.0780612244897959
1557.0,,,0.2086396605318992,0.0,0.1669956086248581,0.0011841910494893,0.0803029555434943,0.1436571766911728,0.0,0.1704494991858686,0.0,0.1149898850347856,0.105787733754379,0.0079932895840528
1557.0,,,0.1197038255861785,0.0,0.2030028794734677,0.0008227067050596,0.062731386260798,0.1192924722336487,0.0,0.2655285890580008,0.0,0.1219662690250925,0.090497737556561,0.0164541341011929
1557.0,,,0.2267037552155772,0.0,0.0984005563282336,0.0,0.0726703755215577,0.2451321279554937,0.0,0.118567454798331,0.0,0.1363004172461752,0.0980528511821974,0.0041724617524339
1515.0,,,0.3137742416708105,0.0,0.1218299353555445,0.0,0.1238189955246146,0.0750870213823968,0.0,0.2220288413724515,0.0,0.0793137742416708,0.0,0.0641471904525111
1515.0,,,0.2184343434343434,0.0,0.1480078563411896,0.0,0.1240179573512906,0.0852974186307519,0.0,0.2525252525252525,0.0,0.0928731762065095,0.0,0.0788439955106621
1515.0,,,0.239528364116095,0.0,0.1401715039577836,0.0,0.1585587071240105,0.0992744063324538,0.0,0.2143799472295514,0.0,0.0783311345646438,0.0,0.0697559366754617
1515.0,,,0.2414965986394557,0.0,0.1587301587301587,0.0,0.1245545837382572,0.0989633948817622,0.0,0.2021379980563654,0.0,0.0957240038872692,0.0016196954972465,0.0767735665694849
1515.0,,,0.2252747252747253,0.0,0.137057387057387,0.0,0.1523199023199023,0.1239316239316239,0.0,0.1794871794871795,0.0,0.0995115995115995,0.0036630036630036,0.0787545787545787
1556.0,,,0.1389047347404449,0.0,0.22219053051911,0.0,0.0787221905305191,0.1908157444381061,0.0,0.0972618368511123,0.0,0.2036508841985168,0.067313177410154,0.0011409013120365
1556.0,,,0.1428571428571428,0.0,0.1940437412750116,0.0,0.0907398790134946,0.1973010702652397,0.0,0.1037691949744067,0.0,0.1875290832945556,0.0828292228943694,0.0009306654257794
1556.0,,,0.1218546132339235,0.0,0.2489515377446412,0.0009319664492078,0.0996039142590866,0.1322227399813606,0.0,0.1205731593662628,0.0,0.1821994408201304,0.0927306616961789,0.0009319664492078
1556.0,,,0.1290976681311254,0.0,0.2575194322406218,0.0013518080432578,0.0956404190604934,0.1270699560662385,0.0,0.1307874281851977,0.0,0.1726934775261912,0.084488002703616,0.0013518080432578
1556.0,,,0.0959878110716099,0.0,0.2892331132554596,0.0,0.0832910106653123,0.1277298120873539,0.0,0.1051295073641442,0.0,0.2133062468257999,0.0853224987303199,0.0
